barrier,Region 01 New England,Region 02 Mid Atlantic,Region 03 South Atlantic Gulf,Region 04 Great Lakes,Region 05 Ohio,Region 06 Tennessee,Region 07 Upper Mississippi,Region 08 Lower Mississippi,Region 09 Souris Red Rainy,Region 10 Missouri,Region 11 Arkansas White Red,Region 12 Texas Gulf,Region 13 Rio Grande,Region 14 Upper Colorado,Region 15 Lower Colorado,Region 16 Great Basin,Region 17 Pacific Northwest,Region 18 California,Region 19 Alaska,Region 20 Hawaii
PRTY,7109,61177,293922,96290,49631,8995,265609,1160318,17577,922133,408535,237954,38476,135786,60187,187801,543281,529037,222,2363
YIELD,3255,33813,245161,142763,58051,11793,217700,765355,9927,1632812,461011,418681,46246,112124,162992,96238,818734,1129568,122,1131
CNDTNS,2590,28143,153602,85972,26563,11847,142125,586600,4443,1013079,413480,217114,88689,125518,164186,178717,629628,791987,19,2000
COSTS,4380,74741,471027,261914,68578,31105,361450,1437878,29181,2533696,1241001,527834,124944,180294,187494,383419,1413291,1654094,119,2879
FINANCE,9983,46871,236657,88445,21392,4584,209582,1245899,18968,1857732,805899,475697,198111,290194,196637,481840,1046900,1396113,162,5160
LNDLRD,1489,26399,195886,124867,61763,,181318,1645143,22540,1971466,689109,248960,87121,31722,230344,79922,852933,699486,,4455
WATER,1480,19675,132722,19772,6736,6040,25867,222109,9280,1228271,981525,888422,248263,212781,123856,108472,723104,1753456,11,832
OP,1598,32244,110811,145037,31510,,60986,389953,9362,465026,232962,211057,27961,39701,104300,59010,352530,423604,,148
PRTY,5822,96822,253274,121210,46696,6281,200924,1022772,13417,1483314,494075,286739,55851,191998,111515,214403,702406,625865,206,2490
YIELD,2932,45987,176077,110672,84550,12235,184526,738278,46746,1251187,550797,286647,94617,164638,136256,204556,741799,865435,21,638
CNDTNS,3326,47339,126558,72060,47580,2692,111146,990622,23458,1151454,419583,192620,35057,143229,123034,256314,844925,762915,21,1075
COSTS,4172,85259,253373,265069,123140,,273756,1391507,91774,2706306,894828,471078,100782,155426,135156,347703,1758955,1283040,,5450
FINANCE,13074,89357,220174,144945,66605,9206,200079,1195170,48703,2175814,783488,417674,89877,218688,210888,330242,1393325,1222139,574,4773
LNDLRD,6114,39549,186737,97162,50452,,225390,1736086,62790,1694761,807013,375138,26352,94850,207399,137311,777253,675977,,3584
WATER,1964,19917,133013,37391,429,6367,23168,223764,34340,855079,714900,466728,113555,323295,145701,424599,631808,1178039,30,5034
OP,1327,28614,90115,48047,8604,316,60640,473979,33731,549224,290492,128614,11203,32788,116385,107336,552952,332425,243,2669
PRTY,2049,17417,180208,39762,25762,1844,90089,543655,9540,820923,309092,201966,68796,90356,102761,110536,437330,399767,32,1173
YIELD,4881,37046,172024,95483,27884,2968,162639,662526,,1086610,721181,473722,106263,98354,86958,138416,569232,716030,40,
CNDTNS,9169,45898,238383,87316,46346,7597,136341,986581,20314,1614992,485745,468906,94742,159911,109201,253345,950982,720544,96,6677
COSTS,10735,75394,396616,143737,48524,,250342,1286698,20316,2920338,972960,647072,124032,204480,146757,318602,1628310,1005745,36,
FINANCE,8447,47453,336230,75825,20868,3855,148480,1132902,16194,1660210,655204,505967,133255,246294,127832,371904,1094829,1027293,137,11870
LNDLRD,1167,32065,235490,82193,45604,4735,152115,1674274,18292,1753432,682045,471304,56263,92297,195427,153573,874406,788320,20,2656
WATER,2096,19307,172460,47377,14284,3863,73957,625825,8146,1966077,1109687,1060631,216043,246364,135580,288902,876595,1619529,12,46312
OP,2049,17417,180208,39762,25762,1844,90089,543655,9540,820923,309092,201966,68796,90356,102761,110536,437330,399767,32,1173
PRTY,5439,57056,313300,114148,102782,7106,200893,990604,21809,1599090,812593,576715,159375,331742,145436,216181,761294,847305,834,12026
YIELD,1315,28082,104079,45143,40002,,88215,564449,4732,989152,386855,107688,45870,76946,45669,122758,384895,521486,,838
CNDTNS,856,14696,82955,31313,20676,2863,47601,362514,3786,1007623,223861,89502,34005,105049,55610,142379,541801,486468,0,725
COSTS,5644,32753,303817,90884,57396,,164121,1031443,22736,1824039,671646,314557,147390,189062,79884,219915,884469,1083398,,846
FINANCE,2411,27504,236209,55027,22869,5587,87692,1001060,17303,1307704,561407,384796,200677,318493,108875,279780,1018000,782571,995,9085
LNDLRD,359,9268,57830,19821,30279,,55648,1019553,5966,994227,480823,268491,49314,54147,110289,62147,370057,436592,0,
WATER,945,11552,53094,13806,5486,421,15565,237277,3220,867500,544050,369670,154866,111251,41606,134588,421690,716104,0,626
OP,634,31856,69031,22205,12036,,51312,332242,4461,677688,190475,298880,49741,52896,36544,79006,274384,266355,,855
