barrier,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
PRTY,25775,222,59112,488832,521037,217117,714,14245,101580,113373,2363,288706,84549,94534,33279,142644,18101,230308,2753,18200,3276,68600,57127,165220,379217,215779,433485,136395,165,5635,29198,13647,19744,20507,6342,93667,115008,7045,108,35960,51838,16004,315714,77724,388,6502,110845,364,56800,126655
YIELD,17730,122,150187,424880,1138629,235963,188,9794,66475,131468,1131,511743,93259,75483,32685,459843,6154,147237,1298,9660,1370,114642,70072,116983,95816,85416,1113197,22520,319,5248,14686,4304,11141,18738,6937,53095,118516,894,,17545,33353,18351,501057,105014,,6084,171067,261,40066,106736
CNDTNS,16956,19,143945,470769,789906,213990,99,13351,37701,82496,2000,383515,39167,41253,27666,171052,14019,158249,1504,3739,722,80293,41454,60742,40795,206185,489479,40956,149,5364,35282,1139,5449,15297,4962,18799,120632,2726,92,14301,71779,12140,312632,142691,247,4344,147439,38,29630,149148
COSTS,45630,119,144382,920363,1677080,459237,405,21573,183959,212074,2879,765771,104042,88223,43979,484942,19086,201683,474,20879,2236,213738,132167,157007,363150,264165,1708723,194626,714,15320,92929,8504,22129,55586,12171,109211,302580,4555,507,29384,78130,30024,912700,176655,175,8070,327890,354,103900,265239
FINANCE,27342,162,160323,802832,1401889,481058,861,9071,109037,59657,5160,523588,31850,29456,280,348123,4871,148320,5168,12944,3271,75509,75928,213638,205526,384300,1047865,159194,152,14838,71260,2981,28171,43767,2563,44698,299299,4954,499,9732,20161,32210,770358,354284,253,4472,230099,420,94475,279957
LNDLRD,20310,,209924,1040961,711676,217279,,12556,45124,125234,4455,498607,71777,63830,23750,382489,19100,344857,,7760,831,92236,67081,290159,106169,153645,1421646,39929,8,4934,18452,187,7209,44211,,92931,132043,72,376,10778,46242,20105,401207,27335,,1435,221099,153,64808,102442
WATER,13729,11,123484,144458,1698260,683912,57,6324,23131,94704,832,328389,8836,,6483,605811,92,26652,,2864,330,19316,27656,58666,7539,209477,511909,33169,,1204,128227,7048,4616,11308,1296,23238,282954,,47,2424,4174,17,1246421,106673,14,1839,96794,22,1016,152442
OP,,,104240,259035,418344,123631,228,10811,72646,16354,148,180911,25655,32501,20320,67197,1246,22152,198,9640,1030,137523,29611,121847,49547,61185,249548,28400,26,4951,14257,3767,4984,3581,3338,97891,60537,994,111,14957,43141,10665,229636,33772,55,2930,85769,0,8146,35088
PRTY,9704,206,108158,582342,621884,223230,400,21849,97675,110115,2490,295485,79065,54448,32784,236000,9404,115149,2008,36460,2686,89522,53242,304378,148102,258479,869243,67776,306,5599,68300,5199,14001,31843,8679,37319,157924,22728,266,19407,33183,17902,440900,190606,436,9731,179274,115,53318,206760
YIELD,10906,21,128561,368362,847470,327632,10,28722,50068,62000,638,352127,80785,71562,25096,342471,5746,118483,1774,7444,12,87584,57787,145758,151576,175482,634274,59683,252,6493,102208,5934,43593,58868,332,44531,144824,1092,800,12898,34735,11440,404366,158779,120,1188,238878,95,70188,214946
CNDTNS,7292,21,123034,643738,748430,310119,,18030,44770,15215,1075,368514,59853,36843,157,161019,8751,129372,1568,19614,,58430,26863,153532,133301,289889,542629,88682,617,4911,105838,7143,43884,22368,384,30449,174415,891,855,14983,31982,2596,266393,160925,74,2565,252992,8,53093,186689
COSTS,8098,,122949,833050,1285025,523403,1670,32140,114684,69392,5450,848767,126883,107809,31473,540676,9128,178780,1120,26170,458,205233,133485,342886,169110,408968,1635962,128801,159,12362,81664,8947,2290,62901,4352,57965,363037,2132,168,42441,29533,23968,695289,221167,651,9069,452737,,114889,276943
FINANCE,9425,574,201683,683527,1206203,325459,360,30730,72457,78343,4773,759430,82095,59984,6956,449825,4929,168573,8619,18109,3557,99279,66826,280701,231397,372969,1300347,94029,131,26404,111182,8536,5252,55399,5629,82403,297045,2013,279,45178,30775,12745,539250,249852,614,9620,301123,62,94055,336089
LNDLRD,29564,,207399,1187550,646780,253138,370,21940,24508,77011,3584,527285,83080,35736,16277,509294,234,163759,5614,5370,,87325,57526,367047,192309,168689,1096828,10640,,8106,30247,4281,917,81783,528,62237,131685,,36,47422,21802,,564761,107244,62,3490,144581,15,87721,134198
WATER,8379,30,145693,144112,1131834,579588,,13040,40074,88243,5034,291643,3,103,0,365865,136,26226,,660,790,36861,42704,74446,891,297114,248710,137371,,1625,154704,1284,175,39840,121,959,207550,248,4,,0,,657838,306745,82,3606,115262,,8001,154377
OP,2417,243,115332,234898,332425,112311,133,17632,33383,5999,2669,328346,8884,13550,4048,73315,1027,88545,169,2324,82,32136,60732,130289,125260,117385,355988,10800,59,3614,12641,3939,2024,2884,970,32147,63016,1148,852,45843,13247,4997,187584,82313,151,2714,136879,130,27289,34941
PRTY,3809,32,97354,392667,388434,138496,893,5480,81191,85399,1173,247164,27588,20759,16399,132824,9312,20840,95,4443,865,32982,39377,149920,65574,87209,559649,40327,95,2415,55310,1114,2533,14385,1018,11596,79041,1418,85,8096,17450,21856,295107,68000,231,3039,123077,169,13540,83228
YIELD,7215,40,67194,383750,705154,220406,784,13600,67853,82310,,290789,37486,36705,13412,401583,456,80627,210,12885,1289,76505,44650,185066,107157,146265,667703,93562,1864,6002,91450,1890,7511,15953,2762,43821,113782,3145,726,,23685,20515,651266,68094,34,1127,173534,127,77165,115699
CNDTNS,10302,96,90073,631712,712772,280718,804,13424,68535,133700,6677,559598,39781,49364,20351,255846,3630,100867,369,12493,6051,66344,47426,224925,152121,276505,994547,108556,1863,7878,60388,5444,16580,26989,5168,37434,208042,2908,36,6755,23662,22614,548310,150710,103,9151,193776,117,48084,199487
COSTS,11329,36,124760,827785,987386,422655,804,20921,116334,222136,,842703,71181,64718,38641,556158,5349,150768,1782,23278,7423,97768,72781,290872,207936,431619,1845020,117055,598,16491,71648,6074,21402,41778,4021,73974,362511,,113,18190,39925,34484,909894,230836,214,9070,428357,115,107531,265830
FINANCE,13144,137,121436,765831,978336,348695,1377,5568,120468,159867,11870,560927,28715,32649,17705,215147,958,98686,905,11850,5563,42347,62962,286913,154215,329356,987351,138897,308,19109,104405,3619,22841,23776,4306,50980,297210,4608,254,17748,28166,18543,714552,272415,257,5039,267275,232,65545,201986
LNDLRD,7367,20,192388,1209053,755213,215981,271,11716,33799,166166,2656,502538,64201,50418,31953,385318,3488,116574,178,7167,454,53810,36797,331689,174709,189560,1225679,57731,212,6514,59415,936,16565,30700,5138,52935,180923,1991,44,10394,16267,35299,601058,105029,151,6274,205593,112,54828,98406
WATER,6478,12,114054,483347,1544705,585774,685,3098,42469,104724,46312,529637,9611,9194,6748,699355,3041,30112,839,8917,494,42594,24017,146613,25239,304706,1112946,158547,70,2768,159217,2596,12720,16429,2368,49330,247718,1011,0,6673,21567,11962,1386799,151101,47,2147,136085,112,39024,239035
OP,3809,32,97354,392667,388434,138496,893,5480,81191,85399,1173,247164,27588,20759,16399,132824,9312,20840,95,4443,865,32982,39377,149920,65574,87209,559649,40327,95,2415,55310,1114,2533,14385,1018,11596,79041,1418,85,8096,17450,21856,295107,68000,231,3039,123077,169,13540,83228
PRTY,10117,834,126478,568483,840947,582679,270,18307,125042,103255,12026,310048,104265,110648,33917,281771,9825,159471,611,13715,4253,74986,39828,227448,164571,311890,741139,76537,73,10513,170620,5843,36556,43933,10252,74561,186459,6619,212,32054,55908,32912,829796,192159,89,9618,181179,371,49359,293281
YIELD,7593,,43359,363468,518786,149000,,13722,52419,25602,838,221505,37307,41675,13009,227624,5186,95677,322,4873,480,30599,25649,52239,122257,93049,673229,47517,288,3980,60567,2918,8962,7836,1633,24095,82220,961,0,6133,13419,6713,209434,68245,,4360,72797,,24105,93501
CNDTNS,4032,0,52928,215570,475868,184896,225,1783,53091,11633,725,327748,38086,16065,4361,131770,2773,87728,,4403,292,26081,1760,49902,54120,109202,647936,76361,,3779,44072,,6390,11359,1724,7684,120228,692,0,4252,32392,2951,132402,75970,0,5703,84239,,8766,131347
COSTS,14152,,74454,672025,1047357,420945,593,7036,133943,119069,846,372797,55273,81228,23220,375507,6967,129603,2251,9902,2532,61477,68295,178425,157135,290477,1066039,73479,254,7020,57446,1517,21644,41082,2860,43227,333023,2045,14,16212,54014,11466,517013,151142,4,7833,155576,,35600,228206
FINANCE,10012,995,104168,761984,732336,395334,150,5842,64154,145692,9085,516020,19896,21050,14446,186413,1714,95374,472,5389,1531,37433,35408,121970,114335,234443,700554,96326,236,6950,112713,2034,12068,34768,2035,68290,302999,1172,14,5342,65585,3494,625830,197579,127,8620,221858,114,34305,289386
LNDLRD,1514,0,109197,788829,408676,165774,200,2046,11857,38980,,169000,36200,25087,11439,273511,1415,101685,0,4068,147,12249,14676,105020,108265,90328,746112,16260,12,972,21343,0,3020,17667,2020,16981,125098,0,0,,6619,3218,423777,43287,0,2362,79637,0,11401,25796
WATER,4113,0,37610,170290,685633,280816,148,6900,20541,18942,626,240730,11900,5565,0,307584,561,25786,427,138,190,10395,2764,30707,24524,169008,410996,70878,180,2485,104174,374,7439,9038,1669,36964,136992,610,0,2270,13270,743,524780,89954,0,1614,50438,155,1956,180440
OP,904,,35365,237606,272740,152075,265,7456,32007,23224,855,105428,19310,18764,12199,87918,1366,20966,0,7181,331,14644,17340,59179,40555,96719,387143,13519,33,12652,28875,970,4272,12823,1627,8824,45517,1458,5,6480,15095,558,387366,66917,0,2837,110204,,10002,69364
