AREA,Investigating improvements not a priority (2023),Risk of reduced yield or poorer crop quality (2023),Physical field or crop conditions limit system improvements (2023),Cannot finance improvements (2023),Landlord will not share in cost (2023),Uncertainty about future availability of water (2023),Will not be farming this operation long enough to justify improvements (2023),Investigating improvements not a priority (2018),Risk of reduced yield or poorer crop quality (2018),Physical field or crop conditions limit system improvements (2018),Cannot finance improvements (2018),Landlord will not share in cost (2018),Uncertainty about future availability of water (2018),Will not be farming this operation long enough to justify improvements (2018),Investigating improvements not a priority (2013),Risk of reduced yield or poorer crop quality (2013),Physical field or crop conditions limit system improvements (2013),Cannot finance improvements (2013),Landlord will not share in cost (2013),Uncertainty about future availability of water (2013),Will not be farming this operation long enough to justify improvements (2013),Risk of reduced yield or poorer crop quality (2003),Physical field or crop conditions limit system improvements (2003),Cannot finance improvements (2003),Landlord will not share in cost (2003),Uncertainty about future availability of water (2003),Will not be farming this operation long enough to justify improvements (2003)
United States,5026403,6367477,4666302,8636826,7168245,6712674,2704042,5936080,5698594,5355008,8834795,7211889,5339121,2869704,7653357,5208860,6443086,7625049,7315678,8533047,3453058,4708089,4379816,8318070,6382676,5408640,1798301
Alabama,25775,17730,16956,27342,20310,13729,,9704,10906,7292,9425,29564,8379,2417,19940,7215,10302,13144,7367,6478,3809,7593,4032,10012,1514,4113,904
Alaska,222,122,19,162,,11,,206,21,21,574,,30,243,147,40,96,137,20,12,32,,0,995,0,0,
Arizona,59112,150187,143945,160323,209924,123484,104240,108158,128561,123034,201683,207399,145693,115332,87691,67194,90073,121436,192388,114054,97354,43359,52928,104168,109197,37610,35365
Arkansas,488832,424880,470769,802832,1040961,144458,259035,582342,368362,643738,683527,1187550,144112,234898,703031,383750,631712,765831,1209053,483347,392667,363468,215570,761984,788829,170290,237606
California,521037,1138629,789906,1401889,711676,1698260,418344,621884,847470,748430,1206203,646780,1131834,332425,722917,705154,712772,978336,755213,1544705,388434,518786,475868,732336,408676,685633,272740
Colorado,217117,235963,213990,481058,217279,683912,123631,223230,327632,310119,325459,253138,579588,112311,292331,220406,280718,348695,215981,585774,138496,149000,184896,395334,165774,280816,152075
Connecticut,714,188,99,861,,57,228,400,10,,360,370,,133,500,784,804,1377,271,685,893,,225,150,200,148,265
Delaware,14245,9794,13351,9071,12556,6324,10811,21849,28722,18030,30730,21940,13040,17632,11624,13600,13424,5568,11716,3098,5480,13722,1783,5842,2046,6900,7456
Florida,101580,66475,37701,109037,45124,23131,72646,97675,50068,44770,72457,24508,40074,33383,159607,67853,68535,120468,33799,42469,81191,52419,53091,64154,11857,20541,32007
Georgia,113373,131468,82496,59657,125234,94704,16354,110115,62000,15215,78343,77011,88243,5999,172448,82310,133700,159867,166166,104724,85399,25602,11633,145692,38980,18942,23224
Hawaii,2363,1131,2000,5160,4455,832,148,2490,638,1075,4773,3584,5034,2669,3873,,6677,11870,2656,46312,1173,838,725,9085,,626,855
Idaho,288706,511743,383515,523588,498607,328389,180911,295485,352127,368514,759430,527285,291643,328346,462599,290789,559598,560927,502538,529637,247164,221505,327748,516020,169000,240730,105428
Illinois,84549,93259,39167,31850,71777,8836,25655,79065,80785,59853,82095,83080,3,8884,70368,37486,39781,28715,64201,9611,27588,37307,38086,19896,36200,11900,19310
Indiana,94534,75483,41253,29456,63830,,32501,54448,71562,36843,59984,35736,103,13550,68146,36705,49364,32649,50418,9194,20759,41675,16065,21050,25087,5565,18764
Iowa,33279,32685,27666,280,23750,6483,20320,32784,25096,157,6956,16277,0,4048,30752,13412,20351,17705,31953,6748,16399,13009,4361,14446,11439,0,12199
Kansas,142644,459843,171052,348123,382489,605811,67197,236000,342471,161019,449825,509294,365865,73315,312010,401583,255846,215147,385318,699355,132824,227624,131770,186413,273511,307584,87918
Kentucky,18101,6154,14019,4871,19100,92,1246,9404,5746,8751,4929,234,136,1027,8064,456,3630,958,3488,3041,9312,5186,2773,1714,1415,561,1366
Louisiana,230308,147237,158249,148320,344857,26652,22152,115149,118483,129372,168573,163759,26226,88545,250288,80627,100867,98686,116574,30112,20840,95677,87728,95374,101685,25786,20966
Maine,2753,1298,1504,5168,,,198,2008,1774,1568,8619,5614,,169,1529,210,369,905,178,839,95,322,,472,0,427,0
Maryland,18200,9660,3739,12944,7760,2864,9640,36460,7444,19614,18109,5370,660,2324,16736,12885,12493,11850,7167,8917,4443,4873,4403,5389,4068,138,7181
Massachusetts,3276,1370,722,3271,831,330,1030,2686,12,,3557,,790,82,5547,1289,6051,5563,454,494,865,480,292,1531,147,190,331
Michigan,68600,114642,80293,75509,92236,19316,137523,89522,87584,58430,99279,87325,36861,32136,60225,76505,66344,42347,53810,42594,32982,30599,26081,37433,12249,10395,14644
Minnesota,57127,70072,41454,75928,67081,27656,29611,53242,57787,26863,66826,57526,42704,60732,65366,44650,47426,62962,36797,24017,39377,25649,1760,35408,14676,2764,17340
Mississippi,165220,116983,60742,213638,290159,58666,121847,304378,145758,153532,280701,367047,74446,130289,522337,185066,224925,286913,331689,146613,149920,52239,49902,121970,105020,30707,59179
Missouri,379217,95816,40795,205526,106169,7539,49547,148102,151576,133301,231397,192309,891,125260,187261,107157,152121,154215,174709,25239,65574,122257,54120,114335,108265,24524,40555
Montana,215779,85416,206185,384300,153645,209477,61185,258479,175482,289889,372969,168689,297114,117385,369850,146265,276505,329356,189560,304706,87209,93049,109202,234443,90328,169008,96719
Nebraska,433485,1113197,489479,1047865,1421646,511909,249548,869243,634274,542629,1300347,1096828,248710,355988,966457,667703,994547,987351,1225679,1112946,559649,673229,647936,700554,746112,410996,387143
Nevada,136395,22520,40956,159194,39929,33169,28400,67776,59683,88682,94029,10640,137371,10800,73145,93562,108556,138897,57731,158547,40327,47517,76361,96326,16260,70878,13519
New Hampshire,165,319,149,152,8,,26,306,252,617,131,,,59,2528,1864,1863,308,212,70,95,288,,236,12,180,33
New Jersey,5635,5248,5364,14838,4934,1204,4951,5599,6493,4911,26404,8106,1625,3614,10864,6002,7878,19109,6514,2768,2415,3980,3779,6950,972,2485,12652
New Mexico,29198,14686,35282,71260,18452,128227,14257,68300,102208,105838,111182,30247,154704,12641,190478,91450,60388,104405,59415,159217,55310,60567,44072,112713,21343,104174,28875
New York,13647,4304,1139,2981,187,7048,3767,5199,5934,7143,8536,4281,1284,3939,7308,1890,5444,3619,936,2596,1114,2918,,2034,0,374,970
North Carolina,19744,11141,5449,28171,7209,4616,4984,14001,43593,43884,5252,917,175,2024,14940,7511,16580,22841,16565,12720,2533,8962,6390,12068,3020,7439,4272
North Dakota,20507,18738,15297,43767,44211,11308,3581,31843,58868,22368,55399,81783,39840,2884,44528,15953,26989,23776,30700,16429,14385,7836,11359,34768,17667,9038,12823
Ohio,6342,6937,4962,2563,,1296,3338,8679,332,384,5629,528,121,970,9860,2762,5168,4306,5138,2368,1018,1633,1724,2035,2020,1669,1627
Oklahoma,93667,53095,18799,44698,92931,23238,97891,37319,44531,30449,82403,62237,959,32147,36281,43821,37434,50980,52935,49330,11596,24095,7684,68290,16981,36964,8824
Oregon,115008,118516,120632,299299,132043,282954,60537,157924,144824,174415,297045,131685,207550,63016,257338,113782,208042,297210,180923,247718,79041,82220,120228,302999,125098,136992,45517
Pennsylvania,7045,894,2726,4954,72,,994,22728,1092,891,2013,,248,1148,6238,3145,2908,4608,1991,1011,1418,961,692,1172,0,610,1458
Rhode Island,108,,92,499,376,47,111,266,800,855,279,36,4,852,1692,726,36,254,44,0,85,0,0,14,0,0,5
