AREA,Risk of reduced yield or poorer crop quality (2023),Cannot finance improvements (2023),Cannot finance improvements (2018),Risk of reduced yield or poorer crop quality (2013),Physical field or crop conditions limit system improvements (2013),Cannot finance improvements (2013),Risk of reduced yield or poorer crop quality (2003),Physical field or crop conditions limit system improvements (2003),Cannot finance improvements (2003),Will not be farming this operation long enough to justify improvements (2003)
United States,6367477,8636826,8834795,5208860,6443086,7625049,4708089,4379816,8318070,1798301
Alabama,17730,27342,9425,7215,10302,13144,7593,4032,10012,904
Alaska,122,162,574,40,96,137,,0,995,
Arizona,150187,160323,201683,67194,90073,121436,43359,52928,104168,35365
Arkansas,424880,802832,683527,383750,631712,765831,363468,215570,761984,237606
California,1138629,1401889,1206203,705154,712772,978336,518786,475868,732336,272740
Colorado,235963,481058,325459,220406,280718,348695,149000,184896,395334,152075
Connecticut,188,861,360,784,804,1377,,225,150,265
Delaware,9794,9071,30730,13600,13424,5568,13722,1783,5842,7456
Florida,66475,109037,72457,67853,68535,120468,52419,53091,64154,32007
Georgia,131468,59657,78343,82310,133700,159867,25602,11633,145692,23224
Hawaii,1131,5160,4773,,6677,11870,838,725,9085,855
Idaho,511743,523588,759430,290789,559598,560927,221505,327748,516020,105428
Illinois,93259,31850,82095,37486,39781,28715,37307,38086,19896,19310
Indiana,75483,29456,59984,36705,49364,32649,41675,16065,21050,18764
Iowa,32685,280,6956,13412,20351,17705,13009,4361,14446,12199
Kansas,459843,348123,449825,401583,255846,215147,227624,131770,186413,87918
Kentucky,6154,4871,4929,456,3630,958,5186,2773,1714,1366
Louisiana,147237,148320,168573,80627,100867,98686,95677,87728,95374,20966
Maine,1298,5168,8619,210,369,905,322,,472,0
Maryland,9660,12944,18109,12885,12493,11850,4873,4403,5389,7181
Massachusetts,1370,3271,3557,1289,6051,5563,480,292,1531,331
Michigan,114642,75509,99279,76505,66344,42347,30599,26081,37433,14644
Minnesota,70072,75928,66826,44650,47426,62962,25649,1760,35408,17340
Mississippi,116983,213638,280701,185066,224925,286913,52239,49902,121970,59179
Missouri,95816,205526,231397,107157,152121,154215,122257,54120,114335,40555
Montana,85416,384300,372969,146265,276505,329356,93049,109202,234443,96719
Nebraska,1113197,1047865,1300347,667703,994547,987351,673229,647936,700554,387143
Nevada,22520,159194,94029,93562,108556,138897,47517,76361,96326,13519
New Hampshire,319,152,131,1864,1863,308,288,,236,33
New Jersey,5248,14838,26404,6002,7878,19109,3980,3779,6950,12652
New Mexico,14686,71260,111182,91450,60388,104405,60567,44072,112713,28875
New York,4304,2981,8536,1890,5444,3619,2918,,2034,970
North Carolina,11141,28171,5252,7511,16580,22841,8962,6390,12068,4272
North Dakota,18738,43767,55399,15953,26989,23776,7836,11359,34768,12823
Ohio,6937,2563,5629,2762,5168,4306,1633,1724,2035,1627
Oklahoma,53095,44698,82403,43821,37434,50980,24095,7684,68290,8824
Oregon,118516,299299,297045,113782,208042,297210,82220,120228,302999,45517
Pennsylvania,894,4954,2013,3145,2908,4608,961,692,1172,1458
Rhode Island,,499,279,726,36,254,0,0,14,5
South Carolina,17545,9732,45178,,6755,17748,6133,4252,5342,6480
South Dakota,33353,20161,30775,23685,23662,28166,13419,32392,65585,15095
Tennessee,18351,32210,12745,20515,22614,18543,6713,2951,3494,558
Texas,501057,770358,539250,651266,548310,714552,209434,132402,625830,387366
Utah,105014,354284,249852,68094,150710,272415,68245,75970,197579,66917
Vermont,,253,614,34,103,257,,0,127,0
Virginia,6084,4472,9620,1127,9151,5039,4360,5703,8620,2837
Washington,171067,230099,301123,173534,193776,267275,72797,84239,221858,110204
West Virginia,261,420,62,127,117,232,,,114,
Wisconsin,40066,94475,94055,77165,48084,65545,24105,8766,34305,10002
Wyoming,106736,279957,336089,115699,199487,201986,93501,131347,289386,69364
Region 01 New England,3255,9983,13074,4881,9169,8447,1315,856,2411,634
Region 02 Mid Atlantic,33813,46871,89357,37046,45898,47453,28082,14696,27504,31856
Region 03 South Atlantic Gulf,245161,236657,220174,172024,238383,336230,104079,82955,236209,69031
Region 04 Great Lakes,142763,88445,144945,95483,87316,75825,45143,31313,55027,22205
Region 05 Ohio,58051,21392,66605,27884,46346,20868,40002,20676,22869,12036
Region 06 Tennessee,11793,4584,9206,2968,7597,3855,,2863,5587,
Region 07 Upper Mississippi,217700,209582,200079,162639,136341,148480,88215,47601,87692,51312
Region 08 Lower Mississippi,765355,1245899,1195170,662526,986581,1132902,564449,362514,1001060,332242
Region 09 Souris Red Rainy,9927,18968,48703,,20314,16194,4732,3786,17303,4461
Region 10 Missouri,1632812,1857732,2175814,1086610,1614992,1660210,989152,1007623,1307704,677688
Region 11 Arkansas White Red,461011,805899,783488,721181,485745,655204,386855,223861,561407,190475
Region 12 Texas Gulf,418681,475697,417674,473722,468906,505967,107688,89502,384796,298880
Region 13 Rio Grande,46246,198111,89877,106263,94742,133255,45870,34005,200677,49741
Region 14 Upper Colorado,112124,290194,218688,98354,159911,246294,76946,105049,318493,52896
Region 15 Lower Colorado,162992,196637,210888,86958,109201,127832,45669,55610,108875,36544
Region 16 Great Basin,96238,481840,330242,138416,253345,371904,122758,142379,279780,79006
Region 17 Pacific Northwest,818734,1046900,1393325,569232,950982,1094829,384895,541801,1018000,274384
Region 18 California,1129568,1396113,1222139,716030,720544,1027293,521486,486468,782571,266355
Region 19 Alaska,122,162,574,40,96,137,,0,995,
Region 20 Hawaii,1131,5160,4773,,6677,11870,838,725,9085,855
