GEOGRAPHIC AREA,Acres irrigated - Investigating improvements not a priority,Acres irrigated - Risk of reduced yield or poorer crop quality,Acres irrigated - Physical field or crop conditions limit system improvements,Acres irrigated - Cannot finance improvements,Acres irrigated - Landlord will not share in cost,Acres irrigated - Uncertainty about future availability of water,Acres irrigated - Will not be farming this operation long enough to justify improvements,Acres irrigated - Improvements will increase management time or cost
United States,5026403.0,6367477.0,4666302.0,8636826.0,7168245.0,6712674.0,2704042.0,4158248.0
Alabama,25775.0,17730.0,16956.0,27342.0,20310.0,13729.0,,14316.0
Alaska ,222.0,122.0,19.0,162.0,,11.0,,16.0
Arizona ,59112.0,150187.0,143945.0,160323.0,209924.0,123484.0,104240.0,54433.0
Arkansas ,488832.0,424880.0,470769.0,802832.0,1040961.0,144458.0,259035.0,504297.0
California ,521037.0,1138629.0,789906.0,1401889.0,711676.0,1698260.0,418344.0,774074.0
Colorado ,217117.0,235963.0,213990.0,481058.0,217279.0,683912.0,123631.0,139058.0
Connecticut ,714.0,188.0,99.0,861.0,,57.0,228.0,301.0
Delaware ,14245.0,9794.0,13351.0,9071.0,12556.0,6324.0,10811.0,7417.0
Florida ,101580.0,66475.0,37701.0,109037.0,45124.0,23131.0,72646.0,51968.0
Georgia ,113373.0,131468.0,82496.0,59657.0,125234.0,94704.0,16354.0,206768.0
Hawaii ,2363.0,1131.0,2000.0,5160.0,4455.0,832.0,148.0,2215.0
Idaho ,288706.0,511743.0,383515.0,523588.0,498607.0,328389.0,180911.0,158516.0
Illinois ,84549.0,93259.0,39167.0,31850.0,71777.0,8836.0,25655.0,56931.0
Indiana ,94534.0,75483.0,41253.0,29456.0,63830.0,,32501.0,23582.0
Iowa ,33279.0,32685.0,27666.0,280.0,23750.0,6483.0,20320.0,22.0
Kansas ,142644.0,459843.0,171052.0,348123.0,382489.0,605811.0,67197.0,105971.0
Kentucky ,18101.0,6154.0,14019.0,4871.0,19100.0,92.0,1246.0,12446.0
Louisiana ,230308.0,147237.0,158249.0,148320.0,344857.0,26652.0,22152.0,94461.0
