GEOGRAPHIC AREA,TOTAL FARMS,TOTAL FARM LAND (ACRES),TOTAL ACRES IRRIGATED,TOTAL ACRE-FEET APPLIED,"Farms - Investigating improvementsnot a priority","Acres irrigated - Investigating improvementsnot a priority","Acre-feet applied - Investigating improvementsnot a priority",Farms - Risk of reduced yield or poorer crop quality,Acres irrigated - Risk of reduced yield or poorer crop quality,Acre-feet applied - Risk of reduced yield or poorer crop quality,Farms - Physical field or crop conditions limit system improvements,Acres irrigated - Physical field or crop conditions limit system improvements,Acre-feet applied - Physical field or crop conditions limit system improvements,Farms - Improvements will not reduce costs enough to cover implementation costs,Acres irrigated -  Improvements will not reduce costs enough to cover implementation costs,Acre-feet applied -  Improvements will not reduce costs enough to cover implementation costs,Farms - Cannot finance improvements,Acres irrigated - Cannot finance improvements,Acre-feet applied - Cannot finance improvements,Farms - Landlord will not share in cost,Acres irrigated - Landlord will not share in cost,Acre-feet applied - Landlord will not share in cost,Farms - Uncertainty about future availability of water,Acres irrigated - Uncertainty about future availability of water,Acre-feet applied - Uncertainty about future availability of water,Farms - Will not be farming this operation long enough to justify improvements,Acres irrigated - Will not be farming this operation long enough to justify improvements,Acre-feet applied - Will not be farming this operation long enough to justify improvements,Farms - Other,Acres irrigated - Other,Acre-feet applied - Other
United States 2008,"131,988","107,035,754","24,119,889","39,253,905","46,825","7,275,728","12,058,774","18,578","3,559,851","5,742,434","20,888","3,254,283","5,717,695","33,725","7,132,837","11,934,612","37,512","6,428,045","11,221,456","6,815","4,026,107","6,850,516","19,536","3,703,317","6,489,259","17,280","2,451,156","3,879,158","14,272","2,814,618","4,767,103"
United States 2003,"142,861","106,059,556","26,128,744","40,901,757","9,055","2,548,537","4,228,360","9,818","4,708,089","8,881,210","8,951","4,379,816","8,049,323","21,304","10,442,599","18,326,913","20,122","8,318,070","14,804,544","8,194","6,382,676","11,026,594","13,790","5,408,640","9,577,502","6,204","1,798,301","3,672,011","15,995","5,820,210","10,807,884"
Alabama,511,"270,681","41,798","22,693",185,"10,117","5,523",54,"7,593","3,877",36,"4,032","2,617",108,"14,152","7,854",97,"10,012","5,226",5,"1,514","1,180",70,"4,113","2,139",44,904,406,74,"6,637","2,977"
Alaska ,12,"4,943","1,355",283,9,834,223,1,NULL,NULL,0,0,0,2,NULL,NULL,3,995,222,0,0,0,0,0,0,2,NULL,NULL,0,0,0
Arizona ,"1,867","2,150,077","389,218","1,961,414",846,"126,478","617,356",314,"43,359","197,244",191,"52,928","285,587",113,"74,454","405,689",844,"104,168","544,529",58,"109,197","602,661",355,"37,610","208,255",355,"35,365","196,255",440,"64,016","313,329"
Arkansas ,"2,426","3,071,446","2,088,186","4,174,636",795,"568,483","1,057,520",355,"363,468","631,344",195,"215,570","430,124",566,"672,025","1,366,433",807,"761,984","1,473,040",688,"788,829","1,503,783",168,"170,290","281,662",226,"237,606","482,235",96,"107,753","281,925"
California ,"28,577","8,553,704","2,975,828","9,221,834","11,508","840,947","2,784,571","6,904","518,786","1,570,471","8,219","475,868","1,522,380","7,426","1,047,357","3,392,938","5,365","732,336","2,563,354",427,"408,676","1,492,869","5,729","685,633","2,221,331","4,420","272,740","825,254","2,223","526,092","1,417,991"
Colorado ,"8,425","6,032,719","1,448,166","2,139,597","2,788","582,679","863,248",342,"149,000","197,741",515,"184,896","271,558","1,976","420,945","676,440","2,471","395,334","531,977",427,"165,774","258,064","1,054","280,816","383,757","1,098","152,075","243,095","2,276","176,617","256,265"
Connecticut ,124,"8,280","1,660","1,381",48,270,49,7,NULL,160,7,225,116,20,593,NULL,16,150,91,6,200,111,8,148,59,32,265,105,11,NULL,95
Delaware ,205,"142,907","45,773","33,280",83,"18,307","14,331",57,"13,722","9,149",12,"1,783","1,853",56,"7,036","4,949",21,"5,842","5,424",23,"2,046","1,494",16,"6,900","5,025",41,"7,456","4,839",22,"6,142","4,950"
Florida ,"3,870","995,762","500,581","650,448","1,032","125,042","172,915",451,"52,419","64,807",657,"53,091","104,365",575,"133,943","137,160",647,"64,154","62,541",28,"11,857","22,336",134,"20,541","19,279",432,"32,007","40,160",820,"163,856","247,149"
