GEOGRAPHIC AREA,TOTAL FARMS,TOTAL FARM LAND (ACRES),TOTAL ACRES IRRIGATED,TOTAL ACRE-FEET APPLIED,"Farms - Investigating improvementsnot a priority","Acres irrigated - Investigating improvementsnot a priority","Acre-feet applied - Investigating improvementsnot a priority",Farms - Risk of reduced yield or poorer crop quality,Acres irrigated - Risk of reduced yield or poorer crop quality,Acre-feet applied - Risk of reduced yield or poorer crop quality,Farms - Physical field or crop conditions limit system improvements,Acres irrigated - Physical field or crop conditions limit system improvements,Acre-feet applied - Physical field or crop conditions limit system improvements,Farms - Improvements will not reduce costs enough to cover implementation costs,Acres irrigated -  Improvements will not reduce costs enough to cover implementation costs,Acre-feet applied -  Improvements will not reduce costs enough to cover implementation costs,Farms - Cannot finance improvements,Acres irrigated - Cannot finance improvements,Acre-feet applied - Cannot finance improvements,Farms - Landlord will not share in cost,Acres irrigated - Landlord will not share in cost,Acre-feet applied - Landlord will not share in cost,Farms - Uncertainty about future availability of water,Acres irrigated - Uncertainty about future availability of water,Acre-feet applied - Uncertainty about future availability of water,Farms - Will not be farming this operation long enough to justify improvements,Acres irrigated - Will not be farming this operation long enough to justify improvements,Acre-feet applied - Will not be farming this operation long enough to justify improvements,Farms - Improvements will increase management time or cost,Acres irrigated - Improvements will increase management time or cost,Acre-feet applied - Improvements will increase management time or cost
United States,"123,565","116,761,572","29,511,478","43,081,007","40,513","5,936,080","8,215,677","17,011","5,698,594","8,667,051","16,325","5,355,008","8,334,493","29,618","10,354,755","15,284,759","35,736","8,834,795","13,659,417","9,412","7,211,889","10,371,656","19,364","5,339,121","9,453,613","16,669","2,869,704","4,506,778","12,960","3,955,556","6,122,443"
Alabama,544,"255,410","66,281","47,024",144,"9,704","3,422",36,"10,906","5,614",64,"7,292","1,893",29,"8,098","5,000",172,"9,425","4,458",33,"29,564","25,551",14,"8,379","5,600",96,"2,417","6,110",57,"3,283",596
Alaska ,201,"4,827","1,081",954,92,206,248,8,21,28,3,21,NULL,11,NULL,NULL,35,574,561,1,NULL,NULL,25,30,17,32,243,123,19,19,17
Arizona ,"1,517","1,392,162","462,885","2,278,822",497,"108,158","621,451",171,"128,561","620,585",198,"123,034","488,325",311,"122,949","596,652",425,"201,683","1,050,702",141,"207,399","1,128,373",371,"145,693","660,483",282,"115,332","630,885",178,"94,935","513,987"
Arkansas ,"1,938","3,322,673","2,801,203","3,341,310",450,"582,342","756,386",257,"368,362","480,543",349,"643,738","789,224",501,"833,050","1,017,684",592,"683,527","823,892",582,"1,187,550","1,374,327",114,"144,112","161,742",230,"234,898","286,597",264,"515,492","616,728"
California ,"20,922","7,348,985","3,606,534","10,545,987","6,653","621,884","1,636,019","3,707","847,470","2,447,995","2,901","748,430","2,189,666","4,955","1,285,025","3,843,615","5,705","1,206,203","3,641,365","1,239","646,780","2,118,926","4,887","1,131,834","3,451,656","3,519","332,425","973,175","2,650","510,353","1,608,138"
Colorado ,"8,086","9,104,203","1,524,544","2,313,796","2,243","223,230","378,614","1,296","327,632","568,004","1,284","310,119","443,712","1,816","523,403","666,077","2,486","325,459","564,493",467,"253,138","358,164","2,538","579,588","844,970",892,"112,311","149,826",652,"103,053","151,575"
Connecticut ,195,"26,414","2,504","2,536",29,400,162,10,10,10,43,NULL,NULL,135,"1,670","1,177",49,360,NULL,5,370,NULL,1,NULL,NULL,28,133,61,0,0,0
Delaware ,227,"203,211","89,233","29,717",87,"21,849","6,613",75,"28,722","11,126",31,"18,030","6,185",74,"32,140","11,532",44,"30,730","8,373",32,"21,940","8,238",25,"13,040","4,724",41,"17,632","7,381",26,"12,479","5,135"
Florida ,"3,660","1,531,134","351,281","398,159","1,724","97,675","115,457",502,"50,068","45,897",439,"44,770","44,424",783,"114,684","133,411",753,"72,457","78,171",136,"24,508","35,573",213,"40,074","35,355",717,"33,383","20,859",363,"41,142","40,439"
Georgia ,"1,722","907,161","350,880","217,274",586,"110,115","68,374",300,"62,000","33,129",60,"15,215","10,573",386,"69,392","50,750",554,"78,343","39,502",133,"77,011","45,908",201,"88,243","45,523",132,"5,999","5,350",178,"21,873","8,370"
Hawaii ,"1,002","411,528","17,243","26,064",344,"2,490","3,309",86,638,"1,187",31,"1,075","1,173",113,"5,450","12,381",251,"4,773","4,997",37,"3,584","9,966",106,"5,034","6,181",263,"2,669","2,812",160,"1,049",778
Idaho ,"8,524","4,213,824","2,032,569","3,923,200","2,872","295,485","556,049",543,"352,127","670,923","1,114","368,514","681,848","2,372","848,767","1,697,252","2,774","759,430","1,493,174",717,"527,285","1,048,833",734,"291,643","537,373","1,185","328,346","593,567",815,"250,757","486,577"
Illinois ,970,"1,122,428","301,867","192,639",419,"79,065","47,123",192,"80,785","66,684",91,"59,853","28,649",236,"126,883","84,458",194,"82,095","55,217",141,"83,080","61,484",3,3,3,80,"8,884","7,236",121,"41,975","39,773"
Indiana ,"1,022","1,028,423","255,530","113,312",416,"54,448","17,502",190,"71,562","37,430",86,"36,843","27,043",230,"107,809","45,198",172,"59,984","22,422",95,"35,736","24,859",23,103,23,110,"13,550","6,578",112,"40,510","22,000"
Iowa ,496,"384,528","88,744","30,512",207,"32,784","10,160",120,"25,096","10,606",61,157,56,116,"31,473","8,568",105,"6,956","2,110",26,"16,277","4,277",0,0,0,33,"4,048","2,270",52,"4,676","1,491"
Kansas ,"2,433","7,432,640","1,410,047","1,500,832",544,"236,000","252,821",406,"342,471","396,702",202,"161,019","167,807",757,"540,676","582,732",872,"449,825","476,631",429,"509,294","534,439",585,"365,865","386,784",226,"73,315","74,974",210,"173,047","210,546"
