GEOGRAPHIC AREA,Farms - Investigating improvements not a priority,Farmland in acres - Investigating improvements not a priority,Acres equipped - Investigating improvements not a priority,Acres irrigated - Investigating improvements not a priority,Acre-feet applied - Investigating improvements not a priority,Farms - Risk of reduced yield or poorer crop quality,Farmland in acres - Risk of reduced yield or poorer crop quality,Acres equipped - Risk of reduced yield or poorer crop quality,Acres irrigated - Risk of reduced yield or poorer crop quality,Acre-feet applied - Risk of reduced yield or poorer crop quality,Farms - Physical field or crop conditions limit system improvements,Farmland in acres - Physical field or crop conditions limit system improvements,Acres equipped - Physical field or crop conditions limit system improvements,Acres irrigated - Physical field or crop conditions limit system improvements,Acre-feet applied - Physical field or crop conditions limit system improvements,Farms - Improvements will not reduce costs enough to cover implementation costs,Farmland in acres - Improvements will not reduce costs enough to cover implementation costs,Acres equipped -  Improvements will not reduce costs enough to cover implementation costs,Acres irrigated -  Improvements will not reduce costs enough to cover implementation costs,Acre-feet applied -  Improvements will not reduce costs enough to cover implementation costs,Farms - Cannot finance improvements,Farmland in acres - Cannot finance improvements,Acres equipped - Cannot finance improvements,Acres irrigated - Cannot finance improvements,Acre-feet applied - Cannot finance improvements,Farms - Landlord will not share in cost,Farmland in acres - Landlord will not share in cost,Acres equipped - Landlord will not share in cost,Acres irrigated - Landlord will not share in cost,Acre-feet applied - Landlord will not share in cost,Farms - Uncertainty about future availability of water,Farmland in acres - Uncertainty about future availability of water,Acres equipped - Uncertainty about future availability of water,Acres irrigated - Uncertainty about future availability of water,Acre-feet applied - Uncertainty about future availability of water,Farms - Will not be farming this operation long enough to justify improvements,Farmland in acres - Will not be farming this operation long enough to justify improvements,Acres equipped - Will not be farming this operation long enough to justify improvements,Acres irrigated - Will not be farming this operation long enough to justify improvements,Acre-feet applied - Will not be farming this operation long enough to justify improvements,Farms - Improvements will increase management time or cost,Farmland in acres - Improvements will increase management time or cost,Acres equipped - Improvements will increase management time or cost,Acres irrigated - Improvements will increase management time or cost,Acre-feet applied - Improvements will increase management time or cost
United States,"36,382","22,295,161","5,384,141","5,026,403","7,163,013","18,688","17,018,693","6,763,888","6,367,477","10,115,489","15,427","15,881,393","5,008,281","4,666,302","7,439,814","30,969","33,842,892","11,657,285","10,989,319","17,165,341","39,224","31,769,891","9,226,689","8,636,826","14,084,376","8,604","18,744,056","7,578,796","7,168,245","10,599,178","22,164","25,924,013","7,225,090","6,712,674","11,733,808","14,544","9,221,345","2,891,845","2,704,042","4,255,988","13,729","13,137,730","4,480,536","4,158,248","6,507,767"
Alabama,269,"198,901","28,881","25,775","13,507",115,"42,212","18,154","17,730","16,729",102,"66,572","17,726","16,956","7,079",311,"155,662","48,608","45,630","28,160",248,"78,733","30,647","27,342","29,267",59,"136,530","20,910","20,310","10,508",75,"50,498","16,053","13,729","13,187",40,"5,553","1,460",NULL,NULL,181,"44,662","17,429","14,316","20,730"
Alaska ,101,740,304,222,106,10,189,122,122,49,5,54,19,19,11,12,129,119,119,53,59,599,316,162,82,12,169,NULL,NULL,NULL,9,18,11,11,11,46,"3,173",104,NULL,NULL,9,99,18,16,11
Arizona ,399,"109,701","69,116","59,112","270,788",226,"296,348","158,493","150,187","614,465",295,"205,481","149,551","143,945","610,058",329,"256,438","159,488","144,382","654,536",626,"437,589","172,719","160,323","657,687",216,"297,301","225,333","209,924","880,074",455,"228,545","157,855","123,484","455,229",281,"1,640,041","116,411","104,240","455,469",96,"60,296","54,982","54,433","206,170"
Arkansas ,355,"576,538","494,655","488,832","572,649",253,"497,622","425,170","424,880","424,240",294,"604,066","488,893","470,769","468,536",581,"1,043,816","948,093","920,363","1,010,598",585,"982,831","833,539","802,832","896,312",447,"1,199,463","1,067,920","1,040,961","1,173,457",102,"167,481","151,436","144,458","186,545",183,"293,208","264,334","259,035","311,756",255,"564,270","520,548","504,297","585,581"
California ,"5,625","1,453,430","544,034","521,037","1,689,423","5,028","1,632,679","1,214,034","1,138,629","3,398,047","2,724","1,323,217","863,300","789,906","2,237,123","5,972","2,497,026","1,783,978","1,677,080","4,943,394","6,964","2,140,534","1,537,939","1,401,889","4,160,703","1,022","1,038,061","768,102","711,676","2,204,241","4,884","3,832,853","1,809,389","1,698,260","4,978,459","2,548","520,141","445,410","418,344","1,195,790","3,121","1,286,908","832,781","774,074","2,195,925"
Colorado ,"2,226","683,719","229,607","217,117","350,391",757,"1,227,584","238,713","235,963","339,849","1,188","780,164","220,876","213,990","297,991","1,935","1,771,610","477,550","459,237","763,788","3,169","1,940,754","502,432","481,058","757,798",353,"437,105","219,169","217,279","383,814","2,518","3,323,850","704,334","683,912","1,091,117",747,"737,936","144,876","123,631","193,568",859,"1,088,178","140,351","139,058","222,427"
Connecticut ,132,"4,448","1,003",714,"1,136",30,"1,245",262,188,130,34,565,155,99,313,47,"8,049","2,059",405,536,104,"4,726","1,166",861,"1,814",1,NULL,NULL,NULL,NULL,12,389,84,57,64,30,"1,121",228,228,260,31,"2,026",450,301,147
Delaware ,70,"37,159","14,275","14,245","7,240",45,"14,120","10,144","9,794","9,115",29,"31,412","13,351","13,351","9,928",72,"40,523","22,461","21,573","12,828",54,"23,039","9,494","9,071","7,313",24,"25,602","12,742","12,556","7,534",12,"13,759","6,324","6,324","4,176",28,"22,990","10,923","10,811","5,982",28,"11,489","7,763","7,417","3,381"
Florida ,"1,631","439,119","103,655","101,580","108,818",873,"121,144","73,491","66,475","118,448",508,"99,339","57,292","37,701","47,361",757,"679,856","205,109","183,959","218,103","1,322","185,114","113,837","109,037","100,679",102,"71,654","45,124","45,124","47,251",163,"96,087","23,611","23,131","29,686",946,"123,179","75,466","72,646","100,180",415,"187,699","57,740","51,968","61,881"
Georgia ,992,"431,606","114,571","113,373","72,254",366,"294,895","161,417","131,468","97,341",240,"217,852","111,863","82,496","61,907",585,"518,702","221,500","212,074","157,425",552,"196,088","70,132","59,657","57,205",218,"259,082","127,448","125,234","99,017",308,"273,678","97,188","94,704","62,927",151,"78,925","16,354","16,354","8,826",308,"450,036","237,455","206,768","341,862"
Hawaii ,467,"5,125","2,951","2,363","2,072",143,"1,311","1,151","1,131",877,64,NULL,"2,065","2,000",NULL,209,"13,816","4,732","2,879","7,073",349,"8,261","6,429","5,160","9,766",48,"8,752","4,475","4,455","10,128",96,"29,498","1,982",832,829,39,202,180,148,158,173,"5,916","2,280","2,215","6,079"
Idaho ,"2,008","554,096","297,861","288,706","439,238",752,"1,032,625","524,667","511,743","932,751",987,"686,911","405,359","383,515","689,716","1,768","1,544,909","792,189","765,771","1,371,214","2,338","1,188,960","537,016","523,588","921,100",498,"803,829","511,951","498,607","960,280","1,081","934,603","338,672","328,389","592,944",784,"317,365","183,399","180,911","325,694",675,"362,128","158,841","158,516","268,415"
Illinois ,443,"432,320","86,569","84,549","41,504",205,"264,782","96,426","93,259","73,018",132,"130,794","41,407","39,167","19,861",303,"398,511","106,686","104,042","55,944",270,"130,000","32,764","31,850","20,259",89,"230,890","71,777","71,777","30,745",19,"87,980","8,836","8,836","4,721",105,"55,765","26,299","25,655","19,823",157,"123,332","58,189","56,931","45,075"
Indiana ,428,"340,321","99,348","94,534","47,105",207,"208,516","75,646","75,483","39,898",140,"124,482","41,301","41,253","18,375",179,"266,765","94,957","88,223","38,470",170,"112,358","29,515","29,456","16,668",139,"188,623","65,100","63,830","35,347",1,NULL,NULL,NULL,NULL,205,"115,405","33,045","32,501","18,117",76,"83,059","23,590","23,582","14,239"
