AREA,PRTY23,YIELD23,CNDTNS23,COSTS23,FINANCE23,LNDLRD23,WATER23,OP23,PRTY18,YIELD18,CNDTNS18,COSTS18,FINANCE18,LNDLRD18,WATER18,OP18,PRTY13,YIELD13,CNDTNS13,COSTS13,FINANCE13,LNDLRD13,WATER13,OP13,PRTY08,YIELD08,CNDTNS08,COSTS08,FINANCE08,LNDLRD08,WATER08,OP08
United States 2008,"5,026,403","6,367,477","4,666,302","10,989,319","8,636,826","7,168,245","6,712,674","2,704,042","5,936,080","5,698,594","5,355,008","10,354,755","8,834,795","7,211,889","5,339,121","2,869,704","3,453,058","5,208,860","6,443,086","10,245,853","7,625,049","7,315,678","8,533,047","3,453,058","7,275,728","3,559,851","3,254,283","7,132,837","6,428,045","4,026,107","3,703,317","2,451,156"
Alabama,"25,775","17,730","16,956","45,630","27,342","20,310","13,729",NULL,"9,704","10,906","7,292","8,098","9,425","29,564","8,379","2,417","3,809","7,215","10,302","11,329","13,144","7,367","6,478","3,809","10,117","7,593","4,032","14,152","10,012","1,514","4,113",904
Alaska ,222,122,19,119,162,NULL,11,NULL,206,21,21,NULL,574,NULL,30,243,32,40,96,36,137,20,12,32,834,NULL,0,NULL,995,0,0,NULL
Arizona ,"59,112","150,187","143,945","144,382","160,323","209,924","123,484","104,240","108,158","128,561","123,034","122,949","201,683","207,399","145,693","115,332","97,354","67,194","90,073","124,760","121,436","192,388","114,054","97,354","126,478","43,359","52,928","74,454","104,168","109,197","37,610","35,365"
Arkansas ,"488,832","424,880","470,769","920,363","802,832","1,040,961","144,458","259,035","582,342","368,362","643,738","833,050","683,527","1,187,550","144,112","234,898","392,667","383,750","631,712","827,785","765,831","1,209,053","483,347","392,667","568,483","363,468","215,570","672,025","761,984","788,829","170,290","237,606"
California ,"521,037","1,138,629","789,906","1,677,080","1,401,889","711,676","1,698,260","418,344","621,884","847,470","748,430","1,285,025","1,206,203","646,780","1,131,834","332,425","388,434","705,154","712,772","987,386","978,336","755,213","1,544,705","388,434","840,947","518,786","475,868","1,047,357","732,336","408,676","685,633","272,740"
Colorado ,"217,117","235,963","213,990","459,237","481,058","217,279","683,912","123,631","223,230","327,632","310,119","523,403","325,459","253,138","579,588","112,311","138,496","220,406","280,718","422,655","348,695","215,981","585,774","138,496","582,679","149,000","184,896","420,945","395,334","165,774","280,816","152,075"
Connecticut ,714,188,99,405,861,NULL,57,228,400,10,NULL,"1,670",360,370,NULL,133,893,784,804,804,"1,377",271,685,893,270,NULL,225,593,150,200,148,265
Delaware ,"14,245","9,794","13,351","21,573","9,071","12,556","6,324","10,811","21,849","28,722","18,030","32,140","30,730","21,940","13,040","17,632","5,480","13,600","13,424","20,921","5,568","11,716","3,098","5,480","18,307","13,722","1,783","7,036","5,842","2,046","6,900","7,456"
Florida ,"101,580","66,475","37,701","183,959","109,037","45,124","23,131","72,646","97,675","50,068","44,770","114,684","72,457","24,508","40,074","33,383","81,191","67,853","68,535","116,334","120,468","33,799","42,469","81,191","125,042","52,419","53,091","133,943","64,154","11,857","20,541","32,007"
Georgia ,"113,373","131,468","82,496","212,074","59,657","125,234","94,704","16,354","110,115","62,000","15,215","69,392","78,343","77,011","88,243","5,999","85,399","82,310","133,700","222,136","159,867","166,166","104,724","85,399","103,255","25,602","11,633","119,069","145,692","38,980","18,942","23,224"
Hawaii ,"2,363","1,131","2,000","2,879","5,160","4,455",832,148,"2,490",638,"1,075","5,450","4,773","3,584","5,034","2,669","1,173",NULL,"6,677",NULL,"11,870","2,656","46,312","1,173","12,026",838,725,846,"9,085",NULL,626,855
Idaho ,"288,706","511,743","383,515","765,771","523,588","498,607","328,389","180,911","295,485","352,127","368,514","848,767","759,430","527,285","291,643","328,346","247,164","290,789","559,598","842,703","560,927","502,538","529,637","247,164","310,048","221,505","327,748","372,797","516,020","169,000","240,730","105,428"
Illinois ,"84,549","93,259","39,167","104,042","31,850","71,777","8,836","25,655","79,065","80,785","59,853","126,883","82,095","83,080",3,"8,884","27,588","37,486","39,781","71,181","28,715","64,201","9,611","27,588","104,265","37,307","38,086","55,273","19,896","36,200","11,900","19,310"
Indiana ,"94,534","75,483","41,253","88,223","29,456","63,830",NULL,"32,501","54,448","71,562","36,843","107,809","59,984","35,736",103,"13,550","20,759","36,705","49,364","64,718","32,649","50,418","9,194","20,759","110,648","41,675","16,065","81,228","21,050","25,087","5,565","18,764"
Iowa ,"33,279","32,685","27,666","43,979",280,"23,750","6,483","20,320","32,784","25,096",157,"31,473","6,956","16,277",0,"4,048","16,399","13,412","20,351","38,641","17,705","31,953","6,748","16,399","33,917","13,009","4,361","23,220","14,446","11,439",0,"12,199"
