AREA,TOTAL FARMS,TOTAL FARM LAND (ACRES),TOTAL ACRES IRRIGATED,TOTAL ACRE-FEET APPLIED,"Farms - Investigating improvements
not a priority","Acres irrigated - Investigating improvements
not a priority","Acre-feet applied - Investigating improvements
not a priority",Farms - Risk of reduced yield or poorer crop quality,Acres irrigated - Risk of reduced yield or poorer crop quality,Acre-feet applied - Risk of reduced yield or poorer crop quality,Farms - Physical field or crop conditions limit system improvements,Acres irrigated - Physical field or crop conditions limit system improvements,Acre-feet applied - Physical field or crop conditions limit system improvements,Farms - Improvements will not reduce costs enough to cover implementation costs,Acres irrigated -  Improvements will not reduce costs enough to cover implementation costs,Acre-feet applied -  Improvements will not reduce costs enough to cover implementation costs,Farms - Cannot finance improvements,Acres irrigated - Cannot finance improvements,Acre-feet applied - Cannot finance improvements,Farms - Landlord will not share in cost,Acres irrigated - Landlord will not share in cost,Acre-feet applied - Landlord will not share in cost,Farms - Uncertainty about future availability of water,Acres irrigated - Uncertainty about future availability of water,Acre-feet applied - Uncertainty about future availability of water,Farms - Will not be farming this operation long enough to justify improvements,Acres irrigated - Will not be farming this operation long enough to justify improvements,Acre-feet applied - Will not be farming this operation long enough to justify improvements,Farms - Improvements will increase management time or cost,Acres irrigated - Improvements will increase management time or cost,Acre-feet applied - Improvements will increase management time or cost
United States,"128,115","106,750,320","29,305,842","46,506,688","50,242","7,653,357","11,211,006","20,039","5,208,860","8,524,418","21,596","6,443,086","10,605,809","32,528","10,245,853","15,980,579","40,468","7,625,049","12,468,356","12,608","7,315,678","11,894,326","30,895","8,533,047","14,583,080","19,055","3,453,058","5,616,806","16,104","4,007,624","6,286,799"
Alabama,517,"290,861","51,188","19,646",219,"19,940","5,986",80,"7,215","2,982",65,"10,302","3,377",140,"11,329","4,502",181,"13,144","5,699",34,"7,367","2,878",39,"6,478","1,928",112,"3,809","1,594",78,"8,699","3,752"
Alaska ,59,"1,444",211,102,29,147,66,13,40,17,11,96,32,15,36,13,29,137,50,8,20,12,6,12,4,20,32,20,18,44,16
Arizona ,"2,767","1,960,865","453,111","1,938,844","1,099","87,691","291,425",269,"67,194","269,253",436,"90,073","440,460",560,"124,760","572,066","1,209","121,436","519,277",297,"192,388","919,114",598,"114,054","443,406",243,"97,354","520,142",142,"32,353","140,262"
Arkansas ,"2,196","3,344,240","2,758,935","3,580,841",743,"703,031","824,924",285,"383,750","457,513",452,"631,712","873,250",560,"827,785","1,060,615",706,"765,831","976,565",700,"1,209,053","1,717,621",248,"483,347","637,376",424,"392,667","480,230",331,"399,998","499,391"
California ,"26,371","8,164,258","3,496,710","10,940,118","12,555","722,917","2,222,193","6,475","705,154","2,168,315","4,403","712,772","2,493,094","5,171","987,386","3,066,300","9,198","978,336","2,920,874","1,799","755,213","2,481,137","8,061","1,544,705","4,870,478","4,600","388,434","1,301,937","3,740","525,293","1,643,708"
Colorado ,"7,525","6,248,689","1,346,966","2,426,385","2,175","292,331","448,744",890,"220,406","410,877","1,088","280,718","533,702","2,420","422,655","839,262","2,451","348,695","686,213",498,"215,981","383,706","3,283","585,774","990,112",585,"138,496","280,527","1,038","164,807","362,675"
Connecticut ,347,"14,049","2,467","2,761",154,500,325,42,784,701,41,804,"1,089",71,804,"1,206",158,"1,377","1,828",40,271,144,27,685,"1,077",64,893,"1,164",41,129,70
Delaware ,208,"100,984","41,236","21,294",78,"11,624","6,498",42,"13,600","7,157",41,"13,424","5,977",88,"20,921","12,231",66,"5,568","3,162",35,"11,716","5,770",20,"3,098","1,266",25,"5,480","1,990",25,"6,918","4,388"
Florida ,"4,112","1,005,343","423,796","407,701","1,836","159,607","160,155",594,"67,853","69,055",556,"68,535","66,960",818,"116,334","119,355","1,415","120,468","115,819",224,"33,799","33,393",412,"42,469","39,878",797,"81,191","75,233",598,"54,993","57,494"
Georgia ,"1,634","1,539,028","576,497","293,389",673,"172,448","94,490",273,"82,310","47,100",387,"133,700","66,326",402,"222,136","105,537",584,"159,867","89,977",267,"166,166","99,075",216,"104,724","59,239",179,"85,399","44,882",211,"109,638","56,211"
Hawaii ,"1,007","184,874","61,647","216,719",539,"3,873","7,657",158,NULL,NULL,113,"6,677","16,849",243,NULL,NULL,319,"11,870","23,948",108,"2,656","2,630",133,"46,312",NULL,177,"1,173","2,541",176,"1,990","2,429"
Idaho ,"9,217","3,842,712","2,043,388","3,739,475","3,601","462,599","875,449",535,"290,789","527,153","1,204","559,598","1,092,255","2,321","842,703","1,608,301","2,760","560,927","1,050,130",646,"502,538","958,144","1,515","529,637","891,488","1,440","247,164","431,486",734,"135,740","237,098"
Illinois ,812,"630,590","204,349","137,566",380,"70,368","51,038",127,"37,486","34,595",119,"39,781","24,444",193,"71,181","49,911",179,"28,715","23,979",92,"64,201","44,221",34,"9,611","5,855",121,"27,588","18,094",125,"34,841","27,939"
Indiana ,792,"668,838","189,253","105,600",355,"68,146","36,100",144,"36,705","22,322",150,"49,364","25,347",179,"64,718","35,305",127,"32,649","19,753",95,"50,418","28,130",43,"9,194","4,759",121,"20,759","11,288",138,"21,470","11,230"
Iowa ,586,"415,645","102,558","55,479",294,"30,752","15,716",77,"13,412","5,693",76,"20,351","12,367",168,"38,641",NULL,144,"17,705","10,068",51,"31,953","16,884",33,"6,748","3,441",87,"16,399","8,948",48,"8,875","3,969"
Kansas ,"2,703","7,188,205","1,487,932","1,810,690",914,"312,010","349,760",750,"401,583","510,070",441,"255,846","313,194","1,076","556,158","644,975",508,"215,147","243,079",581,"385,318","460,830","1,114","699,355","839,447",323,"132,824","158,263",335,"210,911","262,825"
Kentucky ,506,"190,777","25,995","12,852",269,"8,064","4,139",43,456,290,68,"3,630","2,437",124,"5,349","2,727",127,958,463,29,"3,488","2,273",30,"3,041","2,192",97,"9,312","4,076",74,"3,942","1,860"
Louisiana ,"1,104","1,154,611","544,180","767,799",531,"250,288","370,535",159,"80,627","88,715",174,"100,867","126,269",284,"150,768","193,150",300,"98,686","141,818",194,"116,574","145,506",62,"30,112","28,909",173,"20,840","28,369",164,"67,979","99,424"
Maine ,329,"38,783","4,709","1,909",157,"1,529",640,5,210,140,31,369,142,71,"1,782","1,006",111,905,322,11,178,95,13,839,200,37,95,104,30,243,174
Maryland ,530,"164,849","54,864","27,756",232,"16,736","8,038",65,"12,885","6,966",95,"12,493","4,810",146,"23,278","10,331",217,"11,850","7,348",33,"7,167","4,854",45,"8,917","5,739",86,"4,443","1,940",46,"6,489","3,924"
Massachusetts ,713,"46,436","13,938","10,599",365,"5,547","3,652",75,"1,289","1,965",73,"6,051","2,221",107,"7,423","4,405",249,"5,563","4,120",76,454,568,84,494,"1,715",196,865,"2,144",71,"1,850",719
Michigan ,"1,922","814,233","283,751","149,535",801,"60,225","31,564",364,"76,505","48,687",280,"66,344","31,191",461,"97,768","50,402",460,"42,347","19,509",145,"53,810","24,678",170,"42,594","23,784",388,"32,982","15,915",219,"44,784","23,191"
Minnesota ,"1,104","838,010","230,398","141,839",457,"65,366","37,589",205,"44,650","26,590",241,"47,426","32,472",285,"72,781","47,005",358,"62,962","41,082",126,"36,797","22,861",110,"24,017","14,323",196,"39,377","26,415",106,"23,774","18,305"
Mississippi ,957,"1,523,153","920,936","964,797",435,"522,337","587,699",161,"185,066","177,210",205,"224,925","216,917",268,"290,872","291,591",311,"286,913","274,576",226,"331,689","313,116",121,"146,613","141,591",162,"149,920","147,247",148,"172,036","164,831"
Missouri ,"1,286","1,042,838","571,976","552,488",696,"187,261","174,409",252,"107,157","97,611",283,"152,121","143,127",335,"207,936","192,239",373,"154,215","140,085",172,"174,709","173,761",97,"25,239","21,226",135,"65,574","61,287",133,"55,765","42,580"
Montana ,"3,860","9,173,216","1,102,358","1,432,074","1,719","369,850","459,918",280,"146,265","196,124",926,"276,505","362,327","1,241","431,619","531,513","1,244","329,356","415,148",349,"189,560","256,930",968,"304,706","354,106",280,"87,209","103,931",388,"118,064","120,708"
Nebraska ,"8,933","11,914,972","4,538,770","4,466,057","2,100","966,457","925,214",901,"667,703","704,692","1,447","994,547","936,400","2,811","1,845,020","1,916,242","1,781","987,351","963,548","1,718","1,225,679","1,251,177","1,766","1,112,946","1,059,548","1,130","559,649","579,781","1,295","728,744","786,747"
Nevada ,"1,533","2,689,102","405,861","1,080,880",471,"73,145","199,432",421,"93,562","264,496",179,"108,556","302,537",310,"117,055","318,675",413,"138,897","398,352",173,"57,731","168,832",854,"158,547","437,625",356,"40,327","116,631",167,"51,403","133,356"
New Hampshire ,311,"16,342","3,059","1,005",159,"2,528",694,40,"1,864",506,37,"1,863",495,80,598,116,84,308,200,19,212,64,17,70,17,42,95,50,40,"1,863",499
New Jersey ,667,"101,617","42,392","24,990",286,"10,864","5,790",68,"6,002","5,944",88,"7,878","4,819",137,"16,491","11,636",265,"19,109","12,769",70,"6,514","1,997",43,"2,768","2,667",122,"2,415","1,332",103,"7,700","4,339"
