LAND USE AND PRACTICES (acres),California,California,H180101,H180101,H180102,H180102,H180200,H180200,H180201,H180201,H180300,H180300,H180400,H180400,H180500,H180500,H180600,H180600,H180701,H180701,H180702,H180702,H180703,H180703,H180800,H180800,H180901,H180901,H180902,H180902,H181001,H181001,H181002,H181002
,2022,2017,2022,2017,2022,2017,2022,2017,2022,2017,2022,2017,2022,2017,2022,2017,2022,2017,2022,2017,2022,2017,2022,2017,2022,2017,2022,2017,2022,2017,2022,2017,2022,2017
Land in farms,24606308,24953340,1584901,1847207,1216990,1260192,790413,909381,3956840,4196688,5411004,5435428,4459159,4424549,1020165,1033735,3607356,3578842,420025,313749,115410,140197,242932,234044,465939,368295,198519,144880,266806,441111,21224,24028,828625,601014
Total cropland,10058472,9681339,163380,186469,333751,305822,165638,161700,1685465,1794129,3099231,3112905,2273485,2062841,211270,210362,835818,816915,187712,147802,52836,59879,71297,81724,86911,66766,21925,10535,109099,96191,19136,17013,741518,550286
Harvested cropland,8065879,7921391,111505,119007,234108,222976,111711,122278,1242597,1491558,2537697,2556827,1977702,1843935,153965,157608,612655,558803,133580,106769,34768,45112,48681,61936,71775,35175,16045,3940,101016,77389,12455,11676,665619,506402
Other pasture and grazing land that could have been used for crops without additional improvement,437275,480088,31937,37395,28496,31241,25455,16675,67056,63894,93742,117059,42175,63811,19484,26200,84141,86701,28888,11717,342,(D),2265,1556,4058,5208,(D),(D),(D),7864,(D),71,3655,3970
Cropland idle or used for cover crops or soil-improvement but not harvested and not pastured or grazed,859989,759079,15490,21779,39737,30939,21010,9082,149953,113325,276592,266102,140001,94137,20417,15655,85836,116680,17424,21467,13316,(D),12818,10907,2907,8493,(D),(D),(D),7846,5035,3348,55303,28670
Cropland on which all crops failed or were abandoned,205706,146821,2696,1513,16691,8883,2845,5099,65767,28973,52461,41691,26411,19250,3079,2828,13351,14574,2743,2405,3424,1835,4759,4261,5076,13554,-,(D),(D),61,(D),(D),5132,732
Cropland in summer fallow,489623,373960,1752,6775,14719,11783,4617,8566,160092,96379,138739,131226,87196,41708,14325,8071,39835,40157,5077,5444,986,(D),2774,3064,3095,4336,(D),(D),3157,3031,(D),(D),11809,10512
Total woodland,1745638,1915705,504906,554018,152675,197476,78174,84576,285743,401456,66561,88117,164783,149478,147808,112633,240748,259626,12695,10508,(D),2869,13242,14917,52963,27051,-,(D),431,6510,(D),54,(D),(D)
Woodland pastured,1135017,1198239,301798,311903,107094,139580,29081,26068,205369,242375,52905,69189,123937,123930,70024,55068,179279,184708,6575,4977,(D),400,8969,10742,49385,23983,-,(D),314,4850,-,(D),(D),368
Woodland not pastured,610621,717466,203108,242115,45581,57896,49093,58508,80374,159081,13656,18928,40846,25548,77784,57565,61469,74918,6120,5531,(D),2469,4273,4175,3578,3068,-,(D),117,1660,(D),(D),(D),(D)
"Permanent pasture and rangeland, other than cropland and woodland pastured",11297680,11870021,790958,953968,638460,669744,496595,605287,1758374,1765737,1987859,1988666,1763095,2019876,545012,616701,2320938,2225647,182005,132275,41794,58015,107055,86978,311094,265278,172760,126809,148861,320611,423,688,32397,33741
"Land in farmsteads, homes, buildings, livestock facilities, ponds, roads, wasteland, etc.",1504518,1486275,125657,152752,92104,87150,50006,57818,227258,235366,257353,245740,257796,192354,116075,94039,209852,276654,37613,23164,(D),19434,51338,50425,14971,9200,3834,(D),8415,17799,(D),6273,(D),(D)
Irrigated land,8135688,7950752,111897,125387,253171,297289,131244,163285,1288964,1495850,2529062,2459320,2029572,1862057,124891,131251,593084,534268,131128,110080,27385,35735,45627,49998,79704,52093,28558,41367,95256,87186,11746,10849,654399,494737
Harvested cropland,7697801,7398701,97786,102587,198468,191812,98266,110233,1164156,1369740,2486056,2416454,1932675,1759431,116993,120349,575730,522890,129268,107497,(D),34763,42439,48780,55070,30354,16031,3940,94714,74954,(D),10809,653169,494108
Pastureland and other land,437887,552051,14111,22800,54703,105477,32978,53052,124808,126110,43006,42866,96897,102626,7898,10902,17354,11378,1860,2583,(D),972,3188,1218,24634,21739,12527,37427,542,12232,(D),40,1230,629
Cropland on which no-till practices were used,227027,246871,1732,2947,9818,15576,1916,2605,56247,54714,37353,55748,61305,58383,3704,4747,15149,11929,2639,1549,2526,1536,7044,5610,2946,1176,-,1234,769,585,1460,140,22419,28392
"Cropland on which conservation or reduced tillage, excluding no till, practices were used (see text)",802822,767120,2502,1799,22810,17077,4847,5867,146801,129739,268543,257536,180701,182375,3806,13813,87098,61798,13249,9569,(D),709,4423,5480,4597,1567,(D),(D),2576,551,456,(D),60106,78950
