,AREA,Investigating improvements not a priority (2023),Risk of reduced yield or poorer crop quality (2023),Physical field or crop conditions limit system improvements (2023),Cannot finance improvements (2023),Landlord will not share in cost (2023),Uncertainty about future availability of water (2023),Will not be farming this operation long enough to justify improvements (2023),Investigating improvements not a priority (2018),Risk of reduced yield or poorer crop quality (2018),Physical field or crop conditions limit system improvements (2018),Cannot finance improvements (2018),Landlord will not share in cost (2018),Uncertainty about future availability of water (2018),Will not be farming this operation long enough to justify improvements (2018),Investigating improvements not a priority (2013),Risk of reduced yield or poorer crop quality (2013),Physical field or crop conditions limit system improvements (2013),Cannot finance improvements (2013),Landlord will not share in cost (2013),Uncertainty about future availability of water (2013),Will not be farming this operation long enough to justify improvements (2013),Risk of reduced yield or poorer crop quality (2003),Physical field or crop conditions limit system improvements (2003),Cannot finance improvements (2003),Landlord will not share in cost (2003),Uncertainty about future availability of water (2003),Will not be farming this operation long enough to justify improvements (2003)
0,United States,5026403,6367477.0,4666302,8636826,7168245.0,6712674.0,2704042.0,5936080,5698594,5355008.0,8834795,7211889.0,5339121.0,2869704,7653357,5208860.0,6443086,7625049,7315678,8533047,3453058,4708089.0,4379816.0,8318070,6382676.0,5408640,1798301.0
1,Alabama,25775,17730.0,16956,27342,20310.0,13729.0,,9704,10906,7292.0,9425,29564.0,8379.0,2417,19940,7215.0,10302,13144,7367,6478,3809,7593.0,4032.0,10012,1514.0,4113,904.0
2,Alaska,222,122.0,19,162,,11.0,,206,21,21.0,574,,30.0,243,147,40.0,96,137,20,12,32,,0.0,995,0.0,0,
3,Arizona,59112,150187.0,143945,160323,209924.0,123484.0,104240.0,108158,128561,123034.0,201683,207399.0,145693.0,115332,87691,67194.0,90073,121436,192388,114054,97354,43359.0,52928.0,104168,109197.0,37610,35365.0
4,Arkansas,488832,424880.0,470769,802832,1040961.0,144458.0,259035.0,582342,368362,643738.0,683527,1187550.0,144112.0,234898,703031,383750.0,631712,765831,1209053,483347,392667,363468.0,215570.0,761984,788829.0,170290,237606.0
5,California,521037,1138629.0,789906,1401889,711676.0,1698260.0,418344.0,621884,847470,748430.0,1206203,646780.0,1131834.0,332425,722917,705154.0,712772,978336,755213,1544705,388434,518786.0,475868.0,732336,408676.0,685633,272740.0
6,Colorado,217117,235963.0,213990,481058,217279.0,683912.0,123631.0,223230,327632,310119.0,325459,253138.0,579588.0,112311,292331,220406.0,280718,348695,215981,585774,138496,149000.0,184896.0,395334,165774.0,280816,152075.0
7,Connecticut,714,188.0,99,861,,57.0,228.0,400,10,,360,370.0,,133,500,784.0,804,1377,271,685,893,,225.0,150,200.0,148,265.0
8,Delaware,14245,9794.0,13351,9071,12556.0,6324.0,10811.0,21849,28722,18030.0,30730,21940.0,13040.0,17632,11624,13600.0,13424,5568,11716,3098,5480,13722.0,1783.0,5842,2046.0,6900,7456.0
9,Florida,101580,66475.0,37701,109037,45124.0,23131.0,72646.0,97675,50068,44770.0,72457,24508.0,40074.0,33383,159607,67853.0,68535,120468,33799,42469,81191,52419.0,53091.0,64154,11857.0,20541,32007.0
10,Georgia,113373,131468.0,82496,59657,125234.0,94704.0,16354.0,110115,62000,15215.0,78343,77011.0,88243.0,5999,172448,82310.0,133700,159867,166166,104724,85399,25602.0,11633.0,145692,38980.0,18942,23224.0
11,Hawaii,2363,1131.0,2000,5160,4455.0,832.0,148.0,2490,638,1075.0,4773,3584.0,5034.0,2669,3873,,6677,11870,2656,46312,1173,838.0,725.0,9085,,626,855.0
12,Idaho,288706,511743.0,383515,523588,498607.0,328389.0,180911.0,295485,352127,368514.0,759430,527285.0,291643.0,328346,462599,290789.0,559598,560927,502538,529637,247164,221505.0,327748.0,516020,169000.0,240730,105428.0
13,Illinois,84549,93259.0,39167,31850,71777.0,8836.0,25655.0,79065,80785,59853.0,82095,83080.0,3.0,8884,70368,37486.0,39781,28715,64201,9611,27588,37307.0,38086.0,19896,36200.0,11900,19310.0
14,Indiana,94534,75483.0,41253,29456,63830.0,,32501.0,54448,71562,36843.0,59984,35736.0,103.0,13550,68146,36705.0,49364,32649,50418,9194,20759,41675.0,16065.0,21050,25087.0,5565,18764.0
15,Iowa,33279,32685.0,27666,280,23750.0,6483.0,20320.0,32784,25096,157.0,6956,16277.0,0.0,4048,30752,13412.0,20351,17705,31953,6748,16399,13009.0,4361.0,14446,11439.0,0,12199.0
