,AREA,year,Acres Irrigated,id
0,United States,2023,8636826,1
1,Alabama,2023,27342,2
2,Alaska,2023,162,3
3,Arizona,2023,160323,4
4,Arkansas,2023,802832,5
5,California,2023,1401889,6
6,Colorado,2023,481058,7
7,Connecticut,2023,861,8
8,Delaware,2023,9071,9
9,Florida,2023,109037,10
10,Georgia,2023,59657,11
11,Hawaii,2023,5160,12
12,Idaho,2023,523588,13
13,Illinois,2023,31850,14
14,Indiana,2023,29456,15
15,Iowa,2023,280,16
16,Kansas,2023,348123,17
17,Kentucky,2023,4871,18
18,Louisiana,2023,148320,19
19,Maine,2023,5168,20
20,Maryland,2023,12944,21
21,Massachusetts,2023,3271,22
22,Michigan,2023,75509,23
23,Minnesota,2023,75928,24
24,Mississippi,2023,213638,25
25,Missouri,2023,205526,26
26,Montana,2023,384300,27
27,Nebraska,2023,1047865,28
28,Nevada,2023,159194,29
29,New Hampshire,2023,152,30
30,New Jersey,2023,14838,31
31,New Mexico,2023,71260,32
32,New York,2023,2981,33
33,North Carolina,2023,28171,34
34,North Dakota,2023,43767,35
35,Ohio,2023,2563,36
36,Oklahoma,2023,44698,37
37,Oregon,2023,299299,38
38,Pennsylvania,2023,4954,39
39,Rhode Island,2023,499,40
40,South Carolina,2023,9732,41
41,South Dakota,2023,20161,42
42,Tennessee,2023,32210,43
43,Texas,2023,770358,44
44,Utah,2023,354284,45
45,Vermont,2023,253,46
46,Virginia,2023,4472,47
47,Washington,2023,230099,48
48,West Virginia,2023,420,49
49,Wisconsin,2023,94475,50
50,Wyoming,2023,279957,51
51,Region 01 New England,2023,9983,52
52,Region 02 Mid Atlantic,2023,46871,53
53,Region 03 South Atlantic Gulf,2023,236657,54
54,Region 04 Great Lakes,2023,88445,55
55,Region 05 Ohio,2023,21392,56
56,Region 06 Tennessee,2023,4584,57
57,Region 07 Upper Mississippi,2023,209582,58
58,Region 08 Lower Mississippi,2023,1245899,59
59,Region 09 Souris Red Rainy,2023,18968,60
60,Region 10 Missouri,2023,1857732,61
61,Region 11 Arkansas White Red,2023,805899,62
62,Region 12 Texas Gulf,2023,475697,63
63,Region 13 Rio Grande,2023,198111,64
64,Region 14 Upper Colorado,2023,290194,65
65,Region 15 Lower Colorado,2023,196637,66
66,Region 16 Great Basin,2023,481840,67
67,Region 17 Pacific Northwest,2023,1046900,68
68,Region 18 California,2023,1396113,69
69,Region 19 Alaska,2023,162,70
70,Region 20 Hawaii,2023,5160,71
71,United States,2018,8834795,72
72,Alabama,2018,9425,73
73,Alaska,2018,574,74
74,Arizona,2018,201683,75
75,Arkansas,2018,683527,76
76,California,2018,1206203,77
77,Colorado,2018,325459,78
78,Connecticut,2018,360,79
79,Delaware,2018,30730,80
80,Florida,2018,72457,81
81,Georgia,2018,78343,82
82,Hawaii,2018,4773,83
83,Idaho,2018,759430,84
84,Illinois,2018,82095,85
85,Indiana,2018,59984,86
86,Iowa,2018,6956,87
87,Kansas,2018,449825,88
88,Kentucky,2018,4929,89
89,Louisiana,2018,168573,90
90,Maine,2018,8619,91
91,Maryland,2018,18109,92
92,Massachusetts,2018,3557,93
93,Michigan,2018,99279,94
94,Minnesota,2018,66826,95
95,Mississippi,2018,280701,96
96,Missouri,2018,231397,97
97,Montana,2018,372969,98
98,Nebraska,2018,1300347,99
99,Nevada,2018,94029,100
100,New Hampshire,2018,131,101
101,New Jersey,2018,26404,102
102,New Mexico,2018,111182,103
103,New York,2018,8536,104
104,North Carolina,2018,5252,105
105,North Dakota,2018,55399,106
106,Ohio,2018,5629,107
107,Oklahoma,2018,82403,108
108,Oregon,2018,297045,109
109,Pennsylvania,2018,2013,110
110,Rhode Island,2018,279,111
111,South Carolina,2018,45178,112
112,South Dakota,2018,30775,113
113,Tennessee,2018,12745,114
114,Texas,2018,539250,115
115,Utah,2018,249852,116
116,Vermont,2018,614,117
117,Virginia,2018,9620,118
118,Washington,2018,301123,119
119,West Virginia,2018,62,120
120,Wisconsin,2018,94055,121
121,Wyoming,2018,336089,122
122,Region 01 New England,2018,13074,123
123,Region 02 Mid Atlantic,2018,89357,124
124,Region 03 South Atlantic Gulf,2018,220174,125
125,Region 04 Great Lakes,2018,144945,126
126,Region 05 Ohio,2018,66605,127
127,Region 06 Tennessee,2018,9206,128
128,Region 07 Upper Mississippi,2018,200079,129
129,Region 08 Lower Mississippi,2018,1195170,130
130,Region 09 Souris Red Rainy,2018,48703,131
131,Region 10 Missouri,2018,2175814,132
132,Region 11 Arkansas White Red,2018,783488,133
133,Region 12 Texas Gulf,2018,417674,134
134,Region 13 Rio Grande,2018,89877,135
135,Region 14 Upper Colorado,2018,218688,136
136,Region 15 Lower Colorado,2018,210888,137
137,Region 16 Great Basin,2018,330242,138
138,Region 17 Pacific Northwest,2018,1393325,139
139,Region 18 California,2018,1222139,140
140,Region 19 Alaska,2018,574,141
141,Region 20 Hawaii,2018,4773,142
142,United States,2013,7625049,143
143,Alabama,2013,13144,144
144,Alaska,2013,137,145
145,Arizona,2013,121436,146
146,Arkansas,2013,765831,147
147,California,2013,978336,148
148,Colorado,2013,348695,149
149,Connecticut,2013,1377,150
150,Delaware,2013,5568,151
151,Florida,2013,120468,152
152,Georgia,2013,159867,153
153,Hawaii,2013,11870,154
154,Idaho,2013,560927,155
155,Illinois,2013,28715,156
156,Indiana,2013,32649,157
157,Iowa,2013,17705,158
158,Kansas,2013,215147,159
159,Kentucky,2013,958,160
160,Louisiana,2013,98686,161
161,Maine,2013,905,162
162,Maryland,2013,11850,163
163,Massachusetts,2013,5563,164
164,Michigan,2013,42347,165
165,Minnesota,2013,62962,166
166,Mississippi,2013,286913,167
167,Missouri,2013,154215,168
168,Montana,2013,329356,169
169,Nebraska,2013,987351,170
170,Nevada,2013,138897,171
171,New Hampshire,2013,308,172
172,New Jersey,2013,19109,173
173,New Mexico,2013,104405,174
174,New York,2013,3619,175
175,North Carolina,2013,22841,176
176,North Dakota,2013,23776,177
177,Ohio,2013,4306,178
178,Oklahoma,2013,50980,179
179,Oregon,2013,297210,180
180,Pennsylvania,2013,4608,181
181,Rhode Island,2013,254,182
182,South Carolina,2013,17748,183
183,South Dakota,2013,28166,184
184,Tennessee,2013,18543,185
185,Texas,2013,714552,186
186,Utah,2013,272415,187
187,Vermont,2013,257,188
188,Virginia,2013,5039,189
189,Washington,2013,267275,190
190,West Virginia,2013,232,191
191,Wisconsin,2013,65545,192
192,Wyoming,2013,201986,193
193,Region 01 New England,2013,8447,194
194,Region 02 Mid Atlantic,2013,47453,195
195,Region 03 South Atlantic Gulf,2013,336230,196
196,Region 04 Great Lakes,2013,75825,197
197,Region 05 Ohio,2013,20868,198
198,Region 06 Tennessee,2013,3855,199
199,Region 07 Upper Mississippi,2013,148480,200
200,Region 08 Lower Mississippi,2013,1132902,201
201,Region 09 Souris Red Rainy,2013,16194,202
202,Region 10 Missouri,2013,1660210,203
203,Region 11 Arkansas White Red,2013,655204,204
204,Region 12 Texas Gulf,2013,505967,205
205,Region 13 Rio Grande,2013,133255,206
206,Region 14 Upper Colorado,2013,246294,207
207,Region 15 Lower Colorado,2013,127832,208
208,Region 16 Great Basin,2013,371904,209
209,Region 17 Pacific Northwest,2013,1094829,210
210,Region 18 California,2013,1027293,211
211,Region 19 Alaska,2013,137,212
212,Region 20 Hawaii,2013,11870,213
213,United States,2003,8318070,214
214,Alabama,2003,10012,215
215,Alaska,2003,995,216
216,Arizona,2003,104168,217
217,Arkansas,2003,761984,218
218,California,2003,732336,219
219,Colorado,2003,395334,220
220,Connecticut,2003,150,221
221,Delaware,2003,5842,222
222,Florida,2003,64154,223
223,Georgia,2003,145692,224
224,Hawaii,2003,9085,225
225,Idaho,2003,516020,226
226,Illinois,2003,19896,227
227,Indiana,2003,21050,228
228,Iowa,2003,14446,229
229,Kansas,2003,186413,230
230,Kentucky,2003,1714,231
231,Louisiana,2003,95374,232
232,Maine,2003,472,233
233,Maryland,2003,5389,234
234,Massachusetts,2003,1531,235
235,Michigan,2003,37433,236
236,Minnesota,2003,35408,237
237,Mississippi,2003,121970,238
238,Missouri,2003,114335,239
239,Montana,2003,234443,240
240,Nebraska,2003,700554,241
241,Nevada,2003,96326,242
242,New Hampshire,2003,236,243
