,AREA,year,Acres Irrigated,id,state_code
1,Alabama,2023,27342,2,AL
2,Alaska,2023,162,3,AK
3,Arizona,2023,160323,4,AZ
4,Arkansas,2023,802832,5,AR
5,California,2023,1401889,6,CA
6,Colorado,2023,481058,7,CO
7,Connecticut,2023,861,8,CT
8,Delaware,2023,9071,9,DE
9,Florida,2023,109037,10,FL
10,Georgia,2023,59657,11,GA
11,Hawaii,2023,5160,12,HI
12,Idaho,2023,523588,13,ID
13,Illinois,2023,31850,14,IL
14,Indiana,2023,29456,15,IN
15,Iowa,2023,280,16,IA
16,Kansas,2023,348123,17,KS
17,Kentucky,2023,4871,18,KY
18,Louisiana,2023,148320,19,LA
19,Maine,2023,5168,20,ME
20,Maryland,2023,12944,21,MD
21,Massachusetts,2023,3271,22,MA
22,Michigan,2023,75509,23,MI
23,Minnesota,2023,75928,24,MN
24,Mississippi,2023,213638,25,MS
25,Missouri,2023,205526,26,MO
26,Montana,2023,384300,27,MT
27,Nebraska,2023,1047865,28,NE
28,Nevada,2023,159194,29,NV
29,New Hampshire,2023,152,30,NH
30,New Jersey,2023,14838,31,NJ
31,New Mexico,2023,71260,32,NM
32,New York,2023,2981,33,NY
33,North Carolina,2023,28171,34,NC
34,North Dakota,2023,43767,35,ND
35,Ohio,2023,2563,36,OH
36,Oklahoma,2023,44698,37,OK
37,Oregon,2023,299299,38,OR
38,Pennsylvania,2023,4954,39,PA
39,Rhode Island,2023,499,40,RI
40,South Carolina,2023,9732,41,SC
41,South Dakota,2023,20161,42,SD
42,Tennessee,2023,32210,43,TN
43,Texas,2023,770358,44,TX
44,Utah,2023,354284,45,UT
45,Vermont,2023,253,46,VT
46,Virginia,2023,4472,47,VA
47,Washington,2023,230099,48,WA
48,West Virginia,2023,420,49,WV
49,Wisconsin,2023,94475,50,WI
50,Wyoming,2023,279957,51,WY
72,Alabama,2018,9425,73,AL
73,Alaska,2018,574,74,AK
74,Arizona,2018,201683,75,AZ
75,Arkansas,2018,683527,76,AR
76,California,2018,1206203,77,CA
77,Colorado,2018,325459,78,CO
78,Connecticut,2018,360,79,CT
79,Delaware,2018,30730,80,DE
80,Florida,2018,72457,81,FL
81,Georgia,2018,78343,82,GA
82,Hawaii,2018,4773,83,HI
83,Idaho,2018,759430,84,ID
