,AREA,year,Acres Irrigated,id,state_code
1,Alabama,2023,17730.0,2,AL
2,Alaska,2023,122.0,3,AK
3,Arizona,2023,150187.0,4,AZ
4,Arkansas,2023,424880.0,5,AR
5,California,2023,1138629.0,6,CA
6,Colorado,2023,235963.0,7,CO
7,Connecticut,2023,188.0,8,CT
8,Delaware,2023,9794.0,9,DE
9,Florida,2023,66475.0,10,FL
10,Georgia,2023,131468.0,11,GA
11,Hawaii,2023,1131.0,12,HI
12,Idaho,2023,511743.0,13,ID
13,Illinois,2023,93259.0,14,IL
14,Indiana,2023,75483.0,15,IN
15,Iowa,2023,32685.0,16,IA
16,Kansas,2023,459843.0,17,KS
17,Kentucky,2023,6154.0,18,KY
18,Louisiana,2023,147237.0,19,LA
19,Maine,2023,1298.0,20,ME
20,Maryland,2023,9660.0,21,MD
21,Massachusetts,2023,1370.0,22,MA
22,Michigan,2023,114642.0,23,MI
23,Minnesota,2023,70072.0,24,MN
24,Mississippi,2023,116983.0,25,MS
25,Missouri,2023,95816.0,26,MO
26,Montana,2023,85416.0,27,MT
27,Nebraska,2023,1113197.0,28,NE
28,Nevada,2023,22520.0,29,NV
29,New Hampshire,2023,319.0,30,NH
30,New Jersey,2023,5248.0,31,NJ
31,New Mexico,2023,14686.0,32,NM
32,New York,2023,4304.0,33,NY
33,North Carolina,2023,11141.0,34,NC
34,North Dakota,2023,18738.0,35,ND
35,Ohio,2023,6937.0,36,OH
36,Oklahoma,2023,53095.0,37,OK
37,Oregon,2023,118516.0,38,OR
38,Pennsylvania,2023,894.0,39,PA
39,Rhode Island,2023,,40,RI
40,South Carolina,2023,17545.0,41,SC
41,South Dakota,2023,33353.0,42,SD
42,Tennessee,2023,18351.0,43,TN
43,Texas,2023,501057.0,44,TX
44,Utah,2023,105014.0,45,UT
45,Vermont,2023,,46,VT
46,Virginia,2023,6084.0,47,VA
47,Washington,2023,171067.0,48,WA
48,West Virginia,2023,261.0,49,WV
49,Wisconsin,2023,40066.0,50,WI
50,Wyoming,2023,106736.0,51,WY
72,Alabama,2018,10906.0,73,AL
73,Alaska,2018,21.0,74,AK
74,Arizona,2018,128561.0,75,AZ
75,Arkansas,2018,368362.0,76,AR
76,California,2018,847470.0,77,CA
