huc6,Year,Land in farms,Total cropland,Harvested cropland,Other pasture and grazing land that could have been used for crops without additional improvement,Cropland idle or used for cover crops or soil-improvement but not harvested and not pastured or grazed,Cropland on which all crops failed or were abandoned,Cropland in summer fallow,Total woodland,Woodland pastured,Woodland not pastured,"Permanent pasture and rangeland, other than cropland and woodland pastured","Land in farmsteads, homes, buildings, livestock facilities, ponds, roads, wasteland, etc.",Irrigated land,Harvested cropland,Pastureland and other land,Cropland on which no-till practices were used,"Cropland on which conservation or reduced tillage, excluding no till, practices were used (see text)"
180101,2022,1584901,163380,111505,31937,15490,2696,1752,504906,301798,203108,790958,125657,111897,97786,14111,1732,2502
180102,2022,1216990,333751,234108,28496,39737,16691,14719,152675,107094,45581,638460,92104,253171,198468,54703,9818,22810
180200,2022,790413,165638,111711,25455,21010,2845,4617,78174,29081,49093,496595,50006,131244,98266,32978,1916,4847
180201,2022,3956840,1685465,1242597,67056,149953,65767,160092,285743,205369,80374,1758374,227258,1288964,1164156,124808,56247,146801
180300,2022,5411004,3099231,2537697,93742,276592,52461,138739,66561,52905,13656,1987859,257353,2529062,2486056,43006,37353,268543
180400,2022,4459159,2273485,1977702,42175,140001,26411,87196,164783,123937,40846,1763095,257796,2029572,1932675,96897,61305,180701
180500,2022,1020165,211270,153965,19484,20417,3079,14325,147808,70024,77784,545012,116075,124891,116993,7898,3704,3806
180600,2022,3607356,835818,612655,84141,85836,13351,39835,240748,179279,61469,2320938,209852,593084,575730,17354,15149,87098
180701,2022,420025,187712,133580,28888,17424,2743,5077,12695,6575,6120,182005,37613,131128,129268,1860,2639,13249
180702,2022,115410,52836,34768,342,13316,3424,986,(D),(D),(D),41794,(D),27385,(D),(D),2526,(D)
180703,2022,242932,71297,48681,2265,12818,4759,2774,13242,8969,4273,107055,51338,45627,42439,3188,7044,4423
180800,2022,465939,86911,71775,4058,2907,5076,3095,52963,49385,3578,311094,14971,79704,55070,24634,2946,4597
180901,2022,198519,21925,16045,(D),(D),-,(D),-,-,-,172760,3834,28558,16031,12527,-,(D)
180902,2022,266806,109099,101016,(D),(D),(D),3157,431,314,117,148861,8415,95256,94714,542,769,2576
181001,2022,21224,19136,12455,(D),5035,(D),(D),(D),-,(D),423,(D),11746,(D),(D),1460,456
181002,2022,828625,741518,665619,3655,55303,5132,11809,(D),(D),(D),32397,(D),654399,653169,1230,22419,60106
